Date,Open,High,Low,Close,Adj Close,Volume
2005-10-10,1.848571,1.853929,1.795714,1.798929,1.535982,507505600
2005-10-11,1.829643,1.852500,1.800000,1.842500,1.573185,1225884800
2005-10-12,1.737500,1.796429,1.709643,1.758929,1.501830,2697486400
2005-10-13,1.765714,1.926786,1.759643,1.919286,1.638748,1865575600
2005-10-14,1.929643,1.941071,1.885357,1.928571,1.646676,1035552000
2005-10-17,1.927857,1.936786,1.881429,1.908571,1.629598,616834400
2005-10-18,1.901786,1.926786,1.864286,1.864643,1.592092,609588000
2005-10-19,1.859643,1.962857,1.828929,1.962143,1.675341,1008683200
2005-10-20,1.945357,2.017857,1.941071,2.005000,1.711933,1357762000
2005-10-21,2.030000,2.035000,1.977143,1.987857,1.697295,796726000
2005-10-24,1.973214,2.028214,1.967500,2.028214,1.731753,609753200
2005-10-25,2.014286,2.030357,1.988929,2.003571,1.710713,465127600
2005-10-26,2.010000,2.055714,1.997143,2.036786,1.739073,631593200
2005-10-27,2.035357,2.036071,1.978929,1.978929,1.689673,411541200
2005-10-28,2.001429,2.015357,1.934643,1.945357,1.661008,769787200
2005-10-31,1.971429,2.070714,1.955357,2.056786,1.756150,940844800
2005-11-01,2.044286,2.076429,2.031071,2.053571,1.753405,749686000
2005-11-02,2.061429,2.142857,2.057143,2.141071,1.828115,857060400
2005-11-03,2.152143,2.225714,2.145357,2.208929,1.886054,884382800
2005-11-04,2.155357,2.187143,2.129286,2.183929,1.864708,878035200
2005-11-07,2.173214,2.202500,2.147857,2.151071,1.836654,638831200
2005-11-08,2.141071,2.156429,2.110714,2.139286,1.826590,473765600
2005-11-09,2.142857,2.186071,2.142857,2.146786,1.832994,552930000
2005-11-10,2.165714,2.185714,2.107500,2.185000,1.865623,665344400
2005-11-11,2.197857,2.218214,2.190714,2.197857,1.876601,425448800
2005-11-14,2.197857,2.213571,2.175357,2.194643,1.873856,369933200
2005-11-15,2.200000,2.252857,2.195000,2.224286,1.899166,536841200
2005-11-16,2.255357,2.323571,2.253214,2.319643,1.980586,784515200
2005-11-17,2.342500,2.352857,2.294643,2.304286,1.967474,676205600
2005-11-18,2.332500,2.336786,2.298929,2.305714,1.968692,524960800
2005-11-21,2.315000,2.328214,2.275714,2.320000,1.980890,511711200
2005-11-22,2.315714,2.384286,2.304286,2.375714,2.028461,540282400
2005-11-23,2.388571,2.427857,2.381786,2.396786,2.046453,485853200
2005-11-25,2.416429,2.483571,2.410714,2.476429,2.114455,395012800
2005-11-28,2.525714,2.538214,2.466786,2.487857,2.124212,1018519600
2005-11-29,2.499643,2.510714,2.405357,2.432143,2.076641,891433200
2005-11-30,2.443929,2.458929,2.411429,2.422143,2.068103,595674800
2005-12-01,2.462500,2.561786,2.457500,2.557143,2.183370,812893200
2005-12-02,2.581071,2.597857,2.525000,2.593929,2.214779,895762000
2005-12-05,2.569643,2.590357,2.553214,2.565000,2.190078,583671200
2005-12-06,2.640357,2.672500,2.619643,2.644643,2.258080,857029600
2005-12-07,2.651071,2.659286,2.611429,2.641071,2.255031,679464800
2005-12-08,2.614286,2.648929,2.592857,2.645714,2.258995,790479200
2005-12-09,2.650357,2.663929,2.619643,2.654643,2.266619,555402400
2005-12-12,2.673929,2.691071,2.662857,2.675357,2.284306,524994400
